cellId,x_mm,y_mm,z_mm,edep_MeV
503,503,0,0,7.716452e-01
504,504,0,0,6.895776e-01
505,505,0,0,6.090025e-01
506,506,0,0,7.890841e-01
507,507,0,0,8.888537e-01
508,508,0,0,7.643392e-01
509,509,0,0,7.822080e-01
510,510,0,0,6.872259e-01
511,511,0,0,7.441252e-01
512,512,0,0,6.138472e-01
513,513,0,0,6.301452e-01
514,514,0,0,4.024289e+00
515,515,0,0,6.945858e-01
516,516,0,0,8.563137e-01
517,517,0,0,8.009294e-01
518,518,0,0,5.520635e-01
519,519,0,0,5.416980e-01
520,520,0,0,5.295128e-01
521,521,0,0,5.801582e-01
522,522,0,0,5.754632e-01
523,523,0,0,5.847326e-01
524,524,0,0,7.110739e-01
525,525,0,0,6.105860e-01
526,526,0,0,5.905104e-01
527,527,0,0,6.230321e-01
528,528,0,0,7.894179e-01
529,529,0,0,6.043597e-01
530,530,0,0,7.454445e-01
531,531,0,0,5.553969e-01
532,532,0,0,5.688820e-01
533,533,0,0,7.544999e-01
534,534,0,0,6.642246e-01
535,535,0,0,5.742595e-01
536,536,0,0,6.573488e-01
537,537,0,0,8.307005e-01
538,538,0,0,5.592195e-01
539,539,0,0,7.064902e-01
540,540,0,0,6.330441e-01
541,541,0,0,7.049464e-01
542,542,0,0,7.009008e-01
543,543,0,0,5.896569e-01
544,544,0,0,7.183076e-01
545,545,0,0,6.753563e-01
546,546,0,0,7.686444e-01
547,547,0,0,7.742069e-01
548,548,0,0,5.962921e-01
549,549,0,0,5.429902e-01
550,550,0,0,6.101053e-01
551,551,0,0,6.871918e-01
552,552,0,0,7.043439e-01
553,553,0,0,6.308642e-01
554,554,0,0,6.280425e-01
555,555,0,0,6.565005e-01
556,556,0,0,8.951258e-01
557,557,0,0,6.626407e-01
558,558,0,0,6.510428e-01
559,559,0,0,6.487179e-01
560,560,0,0,6.003711e-01
561,561,0,0,5.971959e-01
562,562,0,0,7.632325e-01
563,563,0,0,6.988671e-01
564,564,0,0,6.308964e-01
565,565,0,0,6.516155e-01
566,566,0,0,6.116518e-01
567,567,0,0,5.987403e-01
568,568,0,0,6.131758e-01
569,569,0,0,8.945867e-01
570,570,0,0,6.011364e-01
571,571,0,0,6.172979e-01
572,572,0,0,6.910429e-01
573,573,0,0,5.661068e-01
574,574,0,0,5.872168e-01
575,575,0,0,6.765379e-01
576,576,0,0,6.756772e-01
577,577,0,0,5.890949e-01
578,578,0,0,6.236447e-01
579,579,0,0,5.711076e-01
580,580,0,0,5.741144e-01
581,581,0,0,6.793424e-01
582,582,0,0,7.027016e-01
583,583,0,0,7.185390e-01
584,584,0,0,7.442555e-01
585,585,0,0,6.080925e-01
586,586,0,0,8.318672e-01
587,587,0,0,6.877386e-01
588,588,0,0,6.098107e-01
589,589,0,0,6.871734e-01
590,590,0,0,6.200297e-01
591,591,0,0,9.950269e-01
592,592,0,0,6.672835e-01
593,593,0,0,6.343377e-01
594,594,0,0,6.109470e-01
595,595,0,0,9.180484e-01
596,596,0,0,6.913755e-01
597,597,0,0,5.771103e-01
598,598,0,0,5.606423e-01
599,599,0,0,7.998055e-01
600,600,0,0,6.227719e-01
601,601,0,0,6.111074e-01
602,602,0,0,5.464915e-01
603,603,0,0,5.899066e-01
604,604,0,0,6.375649e-01
605,605,0,0,6.909459e-01
606,606,0,0,7.155483e-01
607,607,0,0,7.107334e-01
608,608,0,0,6.187135e-01
609,609,0,0,8.321536e-01
610,610,0,0,7.346714e-01
611,611,0,0,5.804742e-01
612,612,0,0,6.789343e-01
613,613,0,0,6.186699e-01
614,614,0,0,6.171876e-01
615,615,0,0,6.238012e-01
616,616,0,0,6.983609e-01
617,617,0,0,7.233047e-01
618,618,0,0,8.778601e-01
619,619,0,0,7.584380e-01
620,620,0,0,7.574260e-01
621,621,0,0,6.677718e-01
622,622,0,0,1.109286e+00
623,623,0,0,6.439889e-01
624,624,0,0,6.097690e-01
625,625,0,0,6.931106e-01
626,626,0,0,6.546025e-01
627,627,0,0,5.856254e-01
628,628,0,0,6.117019e-01
629,629,0,0,6.885332e-01
630,630,0,0,5.563914e-01
631,631,0,0,5.445443e-01
632,632,0,0,6.091602e-01
633,633,0,0,6.484726e-01
634,634,0,0,7.758869e-01
635,635,0,0,6.255059e-01
636,636,0,0,7.373039e-01
637,637,0,0,6.470696e-01
638,638,0,0,6.745412e-01
639,639,0,0,6.571916e-01
640,640,0,0,8.027681e-01
641,641,0,0,6.252443e-01
642,642,0,0,6.754786e-01
643,643,0,0,6.810587e-01
644,644,0,0,7.096362e-01
645,645,0,0,5.826401e-01
646,646,0,0,5.502359e-01
647,647,0,0,6.343383e-01
648,648,0,0,7.264685e-01
649,649,0,0,5.654906e-01
650,650,0,0,9.014695e-01
651,651,0,0,5.897340e-01
652,652,0,0,8.619800e-01
653,653,0,0,7.628026e-01
654,654,0,0,6.449944e-01
655,655,0,0,6.761977e-01
656,656,0,0,5.519791e-01
657,657,0,0,6.753354e-01
658,658,0,0,6.844463e-01
659,659,0,0,7.923497e-01
660,660,0,0,6.423280e-01
661,661,0,0,8.051737e-01
662,662,0,0,6.215028e-01
663,663,0,0,6.715217e-01
664,664,0,0,8.111176e-01
665,665,0,0,7.688707e-01
666,666,0,0,7.027253e-01
667,667,0,0,5.863873e-01
668,668,0,0,7.087137e-01
669,669,0,0,7.232155e-01
670,670,0,0,8.248098e-01
671,671,0,0,6.380514e-01
672,672,0,0,6.967033e-01
673,673,0,0,6.402338e-01
674,674,0,0,6.370975e-01
675,675,0,0,8.528629e-01
676,676,0,0,6.400835e-01
677,677,0,0,7.722064e-01
678,678,0,0,7.205002e-01
679,679,0,0,6.667349e-01
680,680,0,0,8.310055e-01
681,681,0,0,6.297784e-01
682,682,0,0,6.432583e-01
683,683,0,0,6.997195e-01
684,684,0,0,6.856447e-01
685,685,0,0,6.590616e-01
686,686,0,0,6.957448e-01
687,687,0,0,6.219973e-01
688,688,0,0,6.958721e-01
689,689,0,0,7.475240e-01
690,690,0,0,9.849289e-01
691,691,0,0,6.199820e-01
692,692,0,0,8.584951e-01
693,693,0,0,5.860911e-01
694,694,0,0,7.075833e-01
695,695,0,0,5.363949e-01
696,696,0,0,6.326954e-01
697,697,0,0,6.525204e-01
698,698,0,0,5.889871e-01
699,699,0,0,6.096677e-01
700,700,0,0,7.457752e-01
701,701,0,0,7.861470e-01
702,702,0,0,6.673578e-01
703,703,0,0,8.473564e-01
704,704,0,0,6.648969e-01
705,705,0,0,8.000919e-01
706,706,0,0,6.884085e-01
707,707,0,0,6.599596e-01
708,708,0,0,6.647818e-01
709,709,0,0,6.996932e-01
710,710,0,0,8.029012e-01
711,711,0,0,6.677230e-01
712,712,0,0,6.403540e-01
713,713,0,0,8.332300e-01
714,714,0,0,6.746142e-01
715,715,0,0,7.213619e-01
716,716,0,0,6.111650e-01
717,717,0,0,7.234854e-01
718,718,0,0,7.951448e-01
719,719,0,0,8.397511e-01
720,720,0,0,8.418041e-01
721,721,0,0,5.739029e-01
722,722,0,0,7.155504e-01
723,723,0,0,5.842298e-01
724,724,0,0,6.753613e-01
725,725,0,0,6.620929e-01
726,726,0,0,7.928357e-01
727,727,0,0,8.750219e-01
728,728,0,0,6.328286e-01
729,729,0,0,8.037282e-01
730,730,0,0,6.793220e-01
731,731,0,0,6.224352e-01
732,732,0,0,6.421728e-01
733,733,0,0,8.428001e-01
734,734,0,0,6.207569e-01
735,735,0,0,5.805231e-01
736,736,0,0,7.249203e-01
737,737,0,0,6.294452e-01
738,738,0,0,5.584368e-01
739,739,0,0,6.104400e-01
740,740,0,0,5.575823e-01
741,741,0,0,6.156770e-01
742,742,0,0,5.648236e-01
743,743,0,0,5.609473e-01
744,744,0,0,5.867430e-01
745,745,0,0,7.913233e-01
746,746,0,0,6.696977e-01
747,747,0,0,6.865149e-01
748,748,0,0,6.793704e-01
749,749,0,0,8.664114e-01
750,750,0,0,6.145480e-01
751,751,0,0,7.135845e-01
752,752,0,0,9.547583e-01
753,753,0,0,6.978950e-01
754,754,0,0,8.921302e-01
755,755,0,0,6.628315e-01
756,756,0,0,8.583961e-01
757,757,0,0,5.955477e-01
758,758,0,0,6.765658e-01
759,759,0,0,6.646970e-01
760,760,0,0,9.576807e-01
761,761,0,0,7.130830e-01
762,762,0,0,6.664987e-01
763,763,0,0,8.388207e-01
764,764,0,0,7.797757e-01
765,765,0,0,7.122490e-01
766,766,0,0,6.273097e-01
767,767,0,0,6.851580e-01
768,768,0,0,5.777153e-01
769,769,0,0,6.480886e-01
770,770,0,0,6.582141e-01
771,771,0,0,6.499024e-01
772,772,0,0,5.923395e-01
773,773,0,0,6.498130e-01
774,774,0,0,6.140027e-01
775,775,0,0,6.818755e-01
776,776,0,0,7.353292e-01
777,777,0,0,6.614591e-01
778,778,0,0,5.644253e-01
779,779,0,0,6.036712e-01
780,780,0,0,7.729986e-01
781,781,0,0,7.174627e-01
782,782,0,0,7.120119e-01
783,783,0,0,7.226758e-01
784,784,0,0,6.126776e-01
785,785,0,0,6.658919e-01
786,786,0,0,6.353067e-01
787,787,0,0,7.089693e-01
788,788,0,0,7.043327e-01
789,789,0,0,6.390408e-01
790,790,0,0,6.285775e-01
791,791,0,0,6.005385e-01
792,792,0,0,1.000765e+00
793,793,0,0,7.048654e-01
794,794,0,0,6.996740e-01
795,795,0,0,5.979977e-01
796,796,0,0,7.302789e-01
797,797,0,0,6.832461e-01
798,798,0,0,6.003567e-01
799,799,0,0,6.043081e-01
800,800,0,0,5.998220e-01
801,801,0,0,6.849962e-01
802,802,0,0,6.324022e-01
803,803,0,0,7.115855e-01
804,804,0,0,6.932826e-01
805,805,0,0,5.799260e-01
806,806,0,0,8.941920e-01
807,807,0,0,6.859578e-01
808,808,0,0,7.366851e-01
809,809,0,0,6.057772e-01
810,810,0,0,9.219046e-01
811,811,0,0,6.464831e-01
812,812,0,0,6.359324e-01
813,813,0,0,7.086146e-01
814,814,0,0,6.424274e-01
815,815,0,0,6.352747e-01
816,816,0,0,6.634534e-01
817,817,0,0,5.441898e-01
818,818,0,0,8.506880e-01
819,819,0,0,6.217386e-01
820,820,0,0,5.878973e-01
821,821,0,0,6.090184e-01
822,822,0,0,7.130614e-01
823,823,0,0,6.710580e-01
824,824,0,0,6.529587e-01
825,825,0,0,9.498675e-01
826,826,0,0,7.202049e-01
827,827,0,0,5.922626e-01
828,828,0,0,6.771119e-01
829,829,0,0,7.439931e-01
830,830,0,0,6.952952e-01
831,831,0,0,8.619330e-01
832,832,0,0,6.142713e-01
833,833,0,0,7.520072e-01
834,834,0,0,7.736850e-01
835,835,0,0,7.094816e-01
836,836,0,0,6.797542e-01
837,837,0,0,6.079941e-01
838,838,0,0,6.309252e-01
839,839,0,0,6.476642e-01
840,840,0,0,8.422940e-01
841,841,0,0,6.304405e-01
842,842,0,0,5.605870e-01
843,843,0,0,6.293905e-01
844,844,0,0,7.523635e-01
845,845,0,0,7.237251e-01
846,846,0,0,7.033398e-01
847,847,0,0,6.740798e-01
848,848,0,0,8.016715e-01
849,849,0,0,6.218572e-01
850,850,0,0,5.849844e-01
851,851,0,0,6.504588e-01
852,852,0,0,7.695188e-01
853,853,0,0,7.882046e-01
854,854,0,0,6.519067e-01
855,855,0,0,7.172290e-01
856,856,0,0,8.187547e-01
857,857,0,0,7.014620e-01
858,858,0,0,6.960621e-01
859,859,0,0,5.745371e-01
860,860,0,0,6.276607e-01
861,861,0,0,6.038823e-01
862,862,0,0,7.296990e-01
863,863,0,0,6.963053e-01
864,864,0,0,5.580946e-01
865,865,0,0,6.414723e-01
866,866,0,0,6.152986e-01
867,867,0,0,7.249858e-01
868,868,0,0,6.098487e-01
869,869,0,0,6.427562e-01
870,870,0,0,6.472191e-01
871,871,0,0,6.388621e-01
872,872,0,0,7.410835e-01
873,873,0,0,6.712539e-01
874,874,0,0,7.315039e-01
875,875,0,0,6.449855e-01
876,876,0,0,6.593592e-01
877,877,0,0,6.460493e-01
878,878,0,0,6.212715e-01
879,879,0,0,6.847211e-01
880,880,0,0,9.225540e-01
881,881,0,0,6.749384e-01
882,882,0,0,6.492296e-01
883,883,0,0,7.423997e-01
884,884,0,0,5.830079e-01
885,885,0,0,6.015148e-01
886,886,0,0,7.018499e-01
887,887,0,0,6.981845e-01
888,888,0,0,5.999354e-01
889,889,0,0,8.565472e-01
890,890,0,0,7.782127e-01
891,891,0,0,8.134162e-01
892,892,0,0,6.812191e-01
893,893,0,0,6.718084e-01
894,894,0,0,6.952692e-01
895,895,0,0,5.885190e-01
896,896,0,0,6.365337e-01
897,897,0,0,7.892870e-01
898,898,0,0,7.630571e-01
899,899,0,0,6.507648e-01
900,900,0,0,8.417534e-01
901,901,0,0,7.553590e-01
902,902,0,0,6.192896e-01
903,903,0,0,6.803782e-01
904,904,0,0,5.852477e-01
905,905,0,0,6.680170e-01
906,906,0,0,6.930613e-01
907,907,0,0,5.793309e-01
908,908,0,0,6.432311e-01
909,909,0,0,9.350556e-01
910,910,0,0,6.768350e-01
911,911,0,0,7.821408e-01
912,912,0,0,9.710449e-01
913,913,0,0,8.018863e-01
914,914,0,0,7.954133e-01
915,915,0,0,6.789749e-01
916,916,0,0,6.686022e-01
917,917,0,0,8.631980e-01
918,918,0,0,6.959319e-01
919,919,0,0,7.999590e-01
920,920,0,0,6.011752e-01
921,921,0,0,8.337281e-01
922,922,0,0,6.756087e-01
923,923,0,0,6.900245e-01
924,924,0,0,8.404358e-01
925,925,0,0,6.119055e-01
926,926,0,0,1.132825e+01
927,927,0,0,6.680358e-01
928,928,0,0,6.323614e-01
929,929,0,0,6.450062e-01
930,930,0,0,7.238265e-01
931,931,0,0,7.109947e-01
932,932,0,0,8.585008e-01
933,933,0,0,7.834017e-01
934,934,0,0,6.101541e-01
935,935,0,0,6.604336e-01
936,936,0,0,6.967728e-01
937,937,0,0,8.112125e-01
938,938,0,0,6.091018e-01
939,939,0,0,7.225035e-01
940,940,0,0,6.063563e-01
941,941,0,0,8.418275e-01
942,942,0,0,7.318681e-01
943,943,0,0,7.481398e-01
944,944,0,0,7.530550e-01
945,945,0,0,6.331442e-01
946,946,0,0,7.197324e-01
947,947,0,0,9.905315e-01
948,948,0,0,6.825934e-01
949,949,0,0,6.167599e-01
950,950,0,0,6.240812e-01
951,951,0,0,6.685079e-01
952,952,0,0,6.216140e-01
953,953,0,0,7.088761e-01
954,954,0,0,5.796194e-01
955,955,0,0,6.407716e-01
956,956,0,0,6.286636e-01
957,957,0,0,5.725160e-01
958,958,0,0,8.202386e-01
959,959,0,0,5.723994e-01
960,960,0,0,7.418918e-01
961,961,0,0,8.116976e-01
962,962,0,0,6.307058e-01
963,963,0,0,5.764524e-01
964,964,0,0,5.751456e-01
965,965,0,0,6.100358e-01
966,966,0,0,6.700181e-01
967,967,0,0,6.798006e-01
968,968,0,0,7.648403e-01
969,969,0,0,8.178084e-01
970,970,0,0,6.525851e-01
971,971,0,0,6.905426e-01
972,972,0,0,6.848178e-01
973,973,0,0,8.745744e-01
974,974,0,0,6.226847e-01
975,975,0,0,6.413889e-01
976,976,0,0,7.047853e-01
977,977,0,0,5.797641e-01
978,978,0,0,6.241762e-01
979,979,0,0,7.801991e-01
980,980,0,0,6.410775e-01
981,981,0,0,6.601169e-01
982,982,0,0,6.818123e-01
983,983,0,0,6.579163e-01
984,984,0,0,8.225242e-01
985,985,0,0,5.560527e-01
986,986,0,0,8.079279e-01
987,987,0,0,7.120016e-01
988,988,0,0,7.023367e-01
989,989,0,0,7.756304e-01
990,990,0,0,6.209202e-01
991,991,0,0,6.813906e-01
992,992,0,0,7.675941e-01
993,993,0,0,6.543795e-01
994,994,0,0,8.601289e-01
995,995,0,0,5.765453e-01
996,996,0,0,8.195121e-01
997,997,0,0,7.548991e-01
998,998,0,0,7.418051e-01
999,999,0,0,8.153219e-01
